# #137 verdict-accuracy fixture -- HARVESTED, not hand-authored: called_verdict is the
#   enum echinocandin_verdict() emitted from this host's reads->call_windows pass over
#   the SAME isolates as the FKS1 concordance run. susceptibility is copied verbatim from
#   fks1_benchmark_100.tsv (the frozen R/S truth). Assembled by
#   scripts/validate_fks1_concordance.py --emit-accuracy-fixture.
isolate	species	run_acc	gene	drug_class	called_verdict	susceptibility	note	citation
B13743	Candida auris	SRR26666801	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13744	Candida auris	SRR26666769	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13863	Candida auris	SRR26666799	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13868	Candida auris	SRR26666790	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13871	Candida auris	SRR26666777	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13885	Candida auris	SRR26666781	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13889	Candida auris	SRR26666789	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13893	Candida auris	SRR26666788	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13894	Candida auris	SRR26666787	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13897	Candida auris	SRR26666785	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B13916	Candida auris	SRR10461157	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B13922	Candida auris	SRR26666765	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B14001	Candida auris	SRR28270960	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B14013	Candida auris	SRR26666809	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B14308	Candida auris	SRR10461147	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B18683	Candida auris	SRR14252431	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B18802	Candida auris	SRR26666763	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B18840	Candida auris	SRR26666756	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B18926	Candida auris	SRR12526252	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B19127	Candida auris	SRR26666797	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B19276	Candida auris	SRR26666798	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B19311	Candida auris	SRR26666786	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B19617	Candida auris	SRR26666796	FKS1	echinocandin	NO_KNOWN_MARKER	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B19618	Candida auris	SRR26666776	FKS1	echinocandin	NO_KNOWN_MARKER	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B19896	Candida auris	SRR26666784	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B19897	Candida auris	SRR26666762	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B19946	Candida auris	SRR26666779	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B20034	Candida auris	SRR26666772	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20153	Candida auris	SRR26666803	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20249	Candida auris	SRR26666761	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20279	Candida auris	SRR23696720	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20308	Candida auris	SRR26666775	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20325	Candida auris	SRR26666783	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B20326	Candida auris	SRR26666760	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20464	Candida auris	SRR26666767	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20537	Candida auris	SRR23696674	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B20549	Candida auris	SRR26666755	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20592	Candida auris	SRR26666807	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20665	Candida auris	SRR23919790	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B20666	Candida auris	SRR23919789	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B20673	Candida auris	SRR26666792	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	S	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20675	Candida auris	SRR26666773	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B20681	Candida auris	SRR23696667	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20689	Candida auris	SRR23696668	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20702	Candida auris	SRR23696701	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20704	Candida auris	SRR23696697	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20706	Candida auris	SRR23696698	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B20717	Candida auris	SRR23696691	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B20912	Candida auris	SRR26666791	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B21114	Candida auris	SRR26666780	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B21247	Candida auris	SRR26666764	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B21248	Candida auris	SRR26666804	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B21288	Candida auris	SRR26666757	FKS1	echinocandin	UNCHARACTERIZED_VARIANT	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B21293	Candida auris	SRR26666759	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B21526	Candida auris	SRR26666754	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B21918	Candida auris	SRR26666771	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B21922	Candida auris	SRR26666766	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B21964	Candida auris	SRR26666758	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B21978	Candida auris	SRR26666778	FKS1	echinocandin	NO_KNOWN_MARKER	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22054	Candida auris	SRR26666802	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B22244	Candida auris	SRR26666795	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639Y	PMC12323592;doi:10.1128/spectrum.03147-24
B22353	Candida auris	SRR26666794	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639P	PMC12323592;doi:10.1128/spectrum.03147-24
B22372	Candida auris	SRR26666806	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22403	Candida auris	SRR26666768	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22404	Candida auris	SRR26666800	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22405	Candida auris	SRR26666793	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22581	Candida auris	SRR26666782	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22769	Candida auris	SRR26666774	FKS1	echinocandin	NO_KNOWN_MARKER	R	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
B22893	Candida auris	SRR26666805	FKS1	echinocandin	RESISTANCE_MARKER_DETECTED	R	harvested=concordance-fks1;resolved=True;panel_hits=S639F	PMC12323592;doi:10.1128/spectrum.03147-24
B8441	Candida auris	SRR10851769	FKS1	echinocandin	NO_KNOWN_MARKER	S	harvested=concordance-fks1;resolved=True;panel_hits=-	PMC12323592;doi:10.1128/spectrum.03147-24
